Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
3472.0,1020,0,16,0,0,14
3488.0,1020,0,16,0,0,14
3504.0,1025,0,16,0,0,14
3520.0,1045,0,16,0,0,14
3536.0,1050,0,16,0,0,14
3552.0,1055,0,16,0,0,2
3584.0,940,0,16,0,0,14
3600.0,940,0,16,0,0,14
3616.0,945,0,16,0,0,14
3632.0,965,0,17,0,0,14
3648.0,915,0,17,0,0,14
3664.0,925,0,17,0,0,14
3680.0,940,0,17,0,0,14
3696.0,950,0,17,0,1,14
3712.0,955,0,17,0,1,16
3840.0,1040,0,17,0,1,16
3968.0,1115,0,18,0,1,16
4096.0,1200,0,18,0,1,16
4224.0,1285,0,19,0,1,16
4352.0,1375,0,19,0,1,16
4480.0,1475,0,20,0,1,16
4608.0,1570,0,20,0,1,16
4736.0,1665,0,21,0,1,16
4768.0,1590,0,21,0,1,16
4784.0,1545,0,21,0,1,16
4800.0,1510,0,21,0,1,16
4816.0,1470,0,21,0,1,16
4832.0,1485,0,21,0,1,16
4960.0,1585,0,21,0,1,16
5088.0,1690,0,22,0,1,16
5168.0,1695,0,22,0,1,16
5296.0,1790,0,22,0,1,16
5424.0,1905,0,22,0,1,16
5552.0,1955,0,22,0,1,16
5568.0,1970,0,22,0,1,16
5696.0,2075,0,22,0,1,16
5824.0,2175,0,22,0,1,16
5952.0,2225,0,22,0,1,16
5968.0,2245,0,22,0,1,16
6096.0,2345,0,22,0,1,16
6224.0,2445,0,22,0,1,16
6352.0,2505,0,22,0,1,16
6368.0,2515,0,22,0,1,16
6496.0,2615,0,22,0,1,16
6624.0,2730,0,22,0,1,16
6752.0,2780,0,22,0,1,16
6768.0,2790,0,22,0,1,16
6896.0,2905,0,22,0,1,16
7024.0,3005,0,22,0,1,16
7152.0,3050,0,22,0,1,16
7168.0,3070,0,22,0,1,16
7296.0,3175,0,22,0,1,16
7424.0,3275,0,22,0,1,16
7552.0,3330,0,22,0,1,16
7568.0,3350,0,22,0,1,16
7696.0,3440,0,22,0,1,16
7824.0,3555,0,22,0,1,16
7952.0,3610,0,22,0,1,16
7968.0,3615,0,22,0,1,16
8096.0,3730,0,22,0,1,16
8224.0,3830,0,22,0,1,16
8352.0,3885,0,22,0,1,16
8368.0,3905,0,22,0,1,16
8496.0,4005,0,22,0,1,16
8624.0,4100,0,22,0,1,16
8752.0,4155,0,22,0,1,16
8768.0,4175,0,22,0,1,16
8896.0,4265,0,22,0,1,16
9024.0,4370,0,22,0,1,16
9152.0,4410,0,22,0,1,16
9168.0,4420,0,22,0,1,16
9296.0,4520,0,22,0,1,16
9424.0,4610,0,22,0,1,16
9552.0,4660,0,22,0,1,16
9568.0,4660,0,22,0,1,16
9696.0,4750,0,22,0,1,11
9728.0,4690,0,22,0,1,1
9744.0,4705,0,22,0,1,1
9760.0,4710,0,22,0,1,1
9776.0,4720,0,22,0,1,1
9792.0,4735,0,22,0,1,1
9808.0,4745,0,22,0,1,1
9824.0,4760,0,22,0,1,1
9840.0,4765,0,22,0,1,1
9856.0,4775,0,22,0,1,1
9872.0,4785,0,22,0,1,1
9888.0,4795,0,22,0,1,1
9904.0,4805,0,22,0,1,1
9920.0,4820,0,22,0,1,1
9936.0,4825,0,22,0,1,42
9968.0,4850,0,22,0,1,1
9984.0,4865,0,22,0,1,1
10000.0,4865,0,22,0,1,1
10016.0,4885,0,22,0,1,1
10032.0,4890,0,22,0,1,1
10048.0,4895,0,22,0,1,1
10064.0,4910,0,22,0,1,1
10080.0,4925,0,22,0,1,1
10096.0,4930,0,22,0,1,1
10112.0,4945,0,22,0,1,1
10128.0,4955,0,22,0,1,1
10144.0,4960,0,22,0,1,1
10160.0,4970,0,22,0,1,1
10176.0,4980,0,22,0,1,1
10192.0,4990,0,22,0,1,1
10208.0,5000,0,22,0,1,1
10224.0,5010,0,22,0,1,1
10240.0,5020,0,22,0,1,1
10256.0,5030,0,22,0,1,1
10272.0,5040,0,22,0,1,1
10288.0,5050,0,22,0,1,1
10304.0,5060,0,22,0,1,1
10320.0,5070,4,22,0,1,1
10336.0,5085,4,22,0,1,1
10352.0,5095,4,22,0,1,1
10368.0,5105,4,22,0,1,1
10384.0,5115,8,22,0,1,42
10416.0,5130,12,22,0,1,1
10432.0,5140,12,22,0,1,1
10448.0,5150,12,22,0,1,1
10464.0,5155,12,22,0,1,1
10480.0,5170,16,22,0,1,1
10496.0,5175,16,22,0,1,1
10512.0,5180,20,22,0,1,1
10528.0,5195,20,22,0,1,1
10544.0,5200,24,22,0,1,1
10560.0,5205,24,22,0,1,1
10576.0,5220,28,22,0,1,1
10592.0,5225,28,22,0,1,1
10608.0,5230,32,22,0,1,1
10624.0,5245,32,22,0,1,45
10656.0,5255,36,22,0,1,1
10688.0,5280,40,22,0,1,1
10704.0,5290,44,22,0,1,1
10720.0,5300,44,22,0,1,1
10736.0,5305,48,22,0,1,1
10752.0,5315,48,22,0,1,1
10768.0,5325,48,22,0,1,1
10784.0,5330,52,22,0,1,1
10800.0,5340,52,22,0,1,1
10816.0,5350,56,22,0,1,1
10832.0,5355,56,22,0,1,1
10848.0,5370,60,22,0,1,1
10864.0,5375,60,22,0,1,1
10880.0,5230,64,22,0,1,2
10896.0,5245,64,22,0,1,1
10912.0,5250,64,22,0,1,1
10928.0,5255,64,22,0,1,1
10944.0,5270,68,22,0,1,1
10960.0,5275,68,22,0,1,1
10976.0,5430,72,21,0,1,1
10992.0,5445,72,21,0,1,1
11024.0,5360,76,21,0,1,34
11136.0,5425,80,21,0,1,34
11248.0,5480,84,21,0,1,42
11280.0,5500,84,21,0,1,34
11392.0,5560,92,21,0,1,34
11504.0,5620,104,21,0,1,34
11616.0,5665,112,21,0,1,42
11632.0,5665,112,21,0,1,42
11648.0,5665,112,21,0,1,42
11664.0,5665,112,21,0,1,42
11680.0,5665,112,21,0,1,42
11696.0,5665,112,21,0,1,42
11712.0,5665,112,21,0,1,42
11728.0,5665,112,21,0,1,42
11744.0,5665,112,21,0,1,42
11760.0,5665,112,21,0,1,42
11776.0,5665,112,21,0,1,42
11792.0,5665,112,21,0,1,42
11808.0,5665,112,21,0,1,42
11824.0,5665,112,21,0,1,42
11840.0,5665,112,21,0,1,42
11856.0,5665,112,21,0,1,42
11872.0,5665,112,21,0,1,42
11888.0,5665,112,21,0,1,42
11904.0,5665,112,21,0,1,42
11920.0,5665,112,21,0,1,42
11936.0,5665,112,21,0,1,42
11952.0,5665,112,21,0,1,42
11968.0,5665,112,21,0,1,42
11984.0,5665,112,21,0,1,42
12000.0,5665,112,21,0,1,34
12112.0,5665,112,21,0,1,34
12224.0,5665,112,21,0,1,34
12336.0,5665,112,21,0,1,34
12448.0,5665,112,21,0,1,34
12560.0,5665,112,21,0,1,34
12672.0,5665,112,21,0,1,34
12784.0,5665,112,21,0,1,34
12896.0,5665,112,21,0,1,45
12912.0,5665,112,21,0,1,2
12944.0,5515,112,21,0,1,34
13056.0,5515,112,21,0,2,34
13168.0,5515,112,21,0,2,34
13280.0,5515,112,21,0,2,34
13392.0,5515,112,21,0,2,34
13504.0,5515,112,21,0,2,34
